,Age_Cat,Gender_1male,Degree_Cat,Farm_size_Cat,Income_Cat,Legislative_requirements,Computer_at_home,Speed_internet_Cat,Already_used_DSS,Willing_to_try_new_products_Cat,Price_important_factor,Importance_of_easy_to_use_1to3,Importance_of_efficient_1to3,Importance_low_price_1to3,Importance_polyvalence_1to3,Enjoy_using_new_techs_1to3,Appreciate_change_1to3,Trust_in_DSS_1to3,Need_IT_teaching_Cat,DSS_can_improve_your_productivity_Cat,WTP_for_DSS_Cat,DSS_must_be_tailored_for_your_farm_Cat,Manufacturer_demo_of_DSS_Cat,Region_central_EU,Region_north_EU,Region_south_EU,clusters
2,2,1,2,5,2,1,1,2,0,1,1,3,3,2,3,1,1,2,2,3,2,2,2,0,0,1,2
3,2,1,2,4,5,1,1,2,0,1,1,3,2,1,2,2,2,1,2,3,3,2,1,0,0,1,2
4,2,1,2,5,5,1,1,2,1,1,1,3,3,1,2,2,1,1,2,3,3,2,2,0,0,1,3
5,1,1,2,2,1,0,1,3,1,2,1,3,3,3,3,2,2,1,1,2,2,3,2,0,0,1,3
6,1,1,2,3,1,0,1,2,1,2,1,2,2,2,2,3,2,2,2,3,2,1,1,0,0,1,3
7,2,1,4,5,2,0,1,3,1,2,1,3,3,2,1,3,2,1,2,4,2,2,2,0,0,1,3
9,3,1,2,4,3,1,1,3,0,2,1,3,3,3,3,2,1,1,2,2,2,2,2,0,0,1,2
11,4,1,2,4,1,1,1,3,0,2,1,1,1,1,2,3,3,1,1,2,1,2,1,0,0,1,2
12,4,1,1,4,5,1,1,1,0,2,1,2,3,1,2,1,2,1,2,3,1,3,1,0,0,1,2
13,2,1,4,5,4,1,1,2,0,2,1,3,2,2,2,1,2,1,2,2,1,1,1,0,0,1,2
14,2,1,3,4,1,0,1,3,1,2,1,3,3,2,3,2,1,1,2,3,2,1,1,0,0,1,3
15,2,1,2,4,3,1,1,3,0,2,1,1,2,2,3,3,2,1,1,2,2,3,1,0,0,1,2
16,2,1,2,4,5,1,1,3,1,1,1,3,3,3,3,2,2,1,2,3,1,3,2,0,0,1,3
17,3,1,2,5,5,1,1,1,1,2,1,3,2,3,3,3,1,1,1,2,1,2,1,0,0,1,3
23,2,0,2,3,3,1,1,1,0,2,1,3,2,3,1,2,2,2,2,3,2,2,1,0,0,1,2
24,1,0,2,4,2,1,1,2,0,2,1,3,2,3,2,3,2,2,2,3,2,2,1,0,0,1,2
25,2,1,2,4,2,1,1,3,1,1,1,3,3,1,3,3,2,2,2,4,3,2,1,0,0,1,3
26,5,1,2,4,2,1,1,2,1,1,1,3,2,1,2,2,3,2,2,4,3,2,2,0,0,1,3
27,3,1,1,5,1,1,1,3,0,1,1,3,3,2,3,3,3,2,2,3,2,2,1,0,0,1,2
28,5,1,2,5,5,1,1,3,1,1,0,2,3,1,2,1,2,2,2,3,3,3,2,0,0,1,3
29,2,1,3,3,1,1,1,3,1,1,1,3,2,2,2,2,2,1,2,3,2,2,2,0,0,1,3
30,4,1,2,5,1,1,1,3,0,1,1,3,2,3,2,3,3,3,2,4,1,2,2,0,0,1,2
31,2,1,2,5,4,1,1,2,1,2,1,3,2,2,2,2,2,2,2,3,3,2,2,0,0,1,3
32,2,1,2,4,2,0,1,3,1,1,1,3,3,3,3,2,2,2,2,3,2,2,2,0,0,1,3
33,3,1,2,4,3,0,1,3,0,1,1,3,3,2,2,3,2,2,2,4,2,3,1,0,0,1,2
34,3,1,2,5,3,1,1,2,1,1,1,3,3,2,3,2,2,2,2,4,3,3,2,0,0,1,3
35,3,1,2,5,5,1,1,3,1,1,1,3,3,3,3,3,2,2,2,4,3,2,2,0,0,1,3
36,2,0,4,2,1,0,1,1,0,1,1,3,1,2,3,1,3,2,2,4,3,2,1,0,0,1,2
37,4,1,2,5,5,1,1,2,1,1,0,2,3,1,1,2,2,2,2,4,3,1,3,1,0,0,0
38,4,1,3,5,5,1,1,3,1,1,1,2,3,1,3,2,1,2,3,3,3,2,2,1,0,0,0
39,2,1,4,5,3,1,1,3,1,1,1,2,3,1,3,3,2,2,1,3,3,2,1,1,0,0,0
40,4,1,3,5,4,1,1,2,1,1,1,2,3,1,2,3,2,2,2,3,3,2,2,1,0,0,0
41,4,1,4,5,3,1,1,3,1,1,1,2,2,2,2,2,2,2,2,3,3,2,2,1,0,0,0
42,4,1,2,5,4,1,1,1,1,1,1,3,3,2,3,2,2,2,2,4,3,2,2,1,0,0,0
43,4,1,4,4,1,1,1,2,1,1,1,3,3,2,2,2,1,2,1,3,2,3,2,1,0,0,0
44,3,1,1,4,2,1,1,3,1,1,1,3,2,1,2,2,1,1,2,3,3,2,2,1,0,0,0
45,3,0,3,1,2,0,1,2,1,1,1,3,2,2,1,1,1,1,2,3,2,2,2,1,0,0,0
46,4,1,2,5,3,1,1,1,1,2,1,3,2,2,2,2,2,1,2,3,3,2,1,0,1,0,1
47,5,1,3,5,3,1,1,2,0,1,0,3,2,1,3,1,1,3,3,3,3,2,1,0,1,0,1
48,5,1,2,5,2,1,1,2,1,1,1,3,3,1,1,1,1,1,3,3,2,2,1,0,1,0,1
49,5,1,3,5,4,1,1,3,1,1,0,2,3,1,3,3,2,1,2,3,3,2,2,0,1,0,1
50,5,1,4,5,5,1,1,3,1,1,1,2,3,1,2,2,2,2,2,3,3,2,2,0,1,0,1
51,5,1,2,5,2,1,1,3,0,1,1,1,1,1,1,1,1,1,2,3,3,2,1,0,1,0,1
52,4,1,3,5,3,1,1,3,1,1,1,3,2,1,1,3,3,2,2,4,3,1,2,0,1,0,1
53,2,1,1,5,5,1,1,2,1,2,1,3,3,2,2,2,2,2,2,3,3,2,1,0,1,0,1
54,2,1,4,5,4,1,1,3,1,1,1,2,3,2,1,2,2,2,1,4,2,1,1,0,1,0,1
55,4,1,2,5,3,1,1,3,1,1,1,3,3,1,3,2,2,1,2,3,3,2,1,0,1,0,1
56,2,1,3,5,4,1,1,3,1,1,1,2,3,1,2,2,1,2,1,4,3,3,1,0,1,0,1
57,2,1,5,5,5,1,1,3,1,1,0,2,3,1,3,3,2,2,1,3,3,2,1,1,0,0,0
58,3,1,5,1,1,1,1,3,1,1,1,2,2,2,3,3,1,2,2,4,3,2,2,1,0,0,0
59,3,0,5,1,1,1,1,3,1,1,1,3,3,3,3,1,1,2,2,3,1,2,2,1,0,0,0
60,1,0,3,2,1,1,1,3,0,1,1,2,3,2,2,2,2,2,2,3,2,2,2,1,0,0,0
62,3,0,2,3,4,1,1,2,1,1,1,3,3,2,3,2,2,2,2,3,2,1,1,1,0,0,0
64,4,1,5,1,1,0,1,2,1,1,1,3,3,2,2,1,1,1,2,3,1,1,2,1,0,0,0
65,4,1,2,1,1,1,1,3,1,1,1,3,3,3,3,1,1,1,3,3,1,2,2,1,0,0,0
66,2,0,3,3,1,1,1,1,0,2,1,2,3,2,2,1,1,1,2,3,3,3,1,1,0,0,0
68,3,0,4,1,1,1,1,2,1,1,1,3,3,1,3,1,2,3,2,4,3,2,2,1,0,0,0
70,3,1,5,1,1,1,1,3,0,1,1,3,3,3,3,1,2,1,2,3,1,3,2,1,0,0,0
71,4,1,4,5,5,0,1,2,1,1,1,2,2,2,1,2,2,2,2,3,3,2,3,1,0,0,0
72,3,1,3,5,5,1,1,3,1,1,1,3,3,2,3,2,2,2,1,4,3,2,2,1,0,0,0
73,4,1,2,5,5,1,1,2,1,1,1,2,2,2,3,2,3,2,1,4,3,2,2,1,0,0,0
74,3,1,1,5,4,1,1,1,1,2,1,3,2,2,1,2,2,2,1,4,3,2,2,1,0,0,0
75,4,1,3,5,2,1,1,3,1,1,1,2,2,1,2,2,2,2,1,3,2,2,1,1,0,0,0
77,3,1,2,5,5,1,1,3,0,1,1,3,3,2,3,3,2,2,2,4,2,2,2,1,0,0,0
78,4,1,2,5,5,1,1,2,0,2,0,3,2,1,2,1,1,2,2,3,3,3,1,1,0,0,0
79,2,1,2,5,3,0,1,3,0,1,0,3,2,1,1,1,1,1,2,3,3,2,1,1,0,0,0
81,2,1,2,5,5,1,1,3,1,1,1,3,3,2,3,3,2,1,1,3,2,2,2,1,0,0,0
82,3,1,2,3,5,1,1,3,1,1,1,3,2,1,2,3,3,2,1,4,3,2,2,0,1,0,1
84,4,1,2,3,5,1,1,3,1,2,0,3,3,1,2,2,2,1,2,3,3,1,2,0,1,0,1
85,4,1,2,3,5,1,1,3,1,1,1,3,3,2,2,2,2,2,2,3,3,1,3,0,1,0,1
86,4,1,3,3,3,1,1,2,1,1,1,3,3,1,2,3,3,2,2,3,2,3,2,0,0,1,3
88,4,1,3,3,3,1,1,2,1,1,1,3,3,3,3,2,2,1,2,3,3,3,2,0,0,1,3
89,4,0,4,3,2,1,1,2,1,1,1,3,3,1,3,2,1,2,2,3,2,3,2,0,0,1,3
90,3,1,4,3,1,1,1,3,1,1,1,3,3,3,2,2,1,2,1,3,2,2,2,0,0,1,3
92,3,1,2,5,1,0,1,2,1,2,1,3,3,3,3,1,1,1,2,2,2,2,1,1,0,0,0
105,1,1,2,5,1,0,1,3,1,1,0,2,1,2,2,3,3,2,1,1,1,1,1,0,1,0,1
106,2,1,4,5,3,1,1,3,0,1,1,3,3,2,2,3,3,3,1,3,3,2,3,0,1,0,1
107,4,1,4,5,5,1,1,3,1,1,0,2,2,2,3,3,3,2,2,4,3,2,2,0,1,0,1
108,4,1,3,5,5,1,1,3,0,1,1,3,3,2,3,2,3,1,2,3,2,2,2,0,1,0,1
109,2,1,3,5,5,1,1,3,0,2,1,3,3,2,3,3,3,1,1,2,3,2,2,0,1,0,1
110,1,1,3,4,2,1,1,1,1,1,1,3,3,1,3,3,2,1,1,3,3,3,1,0,1,0,1
111,1,1,3,3,1,1,1,3,0,1,1,3,3,1,3,3,2,2,2,3,2,2,2,0,1,0,1
112,3,0,5,4,2,1,1,2,1,1,1,2,3,3,3,2,2,2,1,3,2,2,2,0,1,0,1
113,1,0,1,4,3,1,1,3,1,1,1,3,3,1,3,3,3,1,1,4,3,2,1,0,1,0,1
114,2,1,4,5,5,1,1,3,1,1,1,3,2,1,3,2,2,2,1,4,3,3,1,0,1,0,1
115,3,1,3,5,5,1,1,2,0,1,1,3,3,1,2,2,1,2,1,3,3,2,2,0,1,0,1
116,3,1,3,5,5,1,1,3,1,1,1,3,3,1,3,2,2,2,2,3,2,2,2,0,1,0,1
117,2,0,4,5,2,1,1,2,1,1,1,3,2,2,3,2,1,1,1,3,2,2,2,0,1,0,1
118,3,1,4,5,4,1,1,3,1,1,1,2,2,2,3,2,2,1,1,4,2,2,1,0,1,0,1
119,3,1,4,5,5,1,1,3,1,1,1,3,2,1,2,2,2,1,1,3,3,2,3,0,1,0,1
120,4,1,4,4,2,1,1,2,1,1,1,3,2,3,3,1,1,1,2,3,1,3,1,0,1,0,1
121,3,1,3,5,3,1,1,3,1,1,1,3,2,2,3,1,2,2,2,3,2,3,2,0,1,0,1
122,3,1,3,5,4,1,1,3,1,1,1,3,2,2,3,2,2,2,1,4,2,2,2,0,1,0,1
123,3,1,3,4,2,1,1,3,1,1,1,3,2,2,2,2,1,2,1,4,3,3,2,1,0,0,0
124,5,1,3,5,3,1,1,3,1,1,1,3,3,2,2,2,2,3,1,4,3,2,2,1,0,0,0
126,4,1,2,5,2,1,1,1,1,2,1,3,3,1,2,2,2,2,2,3,3,3,2,1,0,0,0
128,1,1,2,1,1,0,1,2,1,1,1,2,3,2,2,2,2,2,2,3,2,2,2,0,0,1,3
135,3,1,2,3,3,0,1,2,1,1,1,2,2,1,2,1,1,1,2,2,2,1,1,0,0,1,3
137,1,1,1,5,4,0,1,3,1,1,0,1,2,1,2,2,1,2,2,4,3,2,2,0,0,1,3
148,2,1,3,5,2,1,1,2,1,1,1,1,2,2,3,2,2,1,2,4,2,2,1,0,0,1,3
